,Year of Release,Game Title,Game Price,Score,Votes,Genre
492,2016,Rusty Lake Hotel,1.99,8.29,6767,Puzzle
493,2016,Devil Daggers,9.99,8.28,8022,FPS
494,2016,Zup! 2,1.99,8.27,6378,Puzzle
495,2016,Hearts of Iron IV,39.99,8.27,226948,Strategy
496,2016,DEADBOLT,9.99,8.26,4669,Pixel Graphics
497,2016,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,19.99,8.26,8592,Action
498,2016,The Elder Scrolls V: Skyrim Special Edition,39.99,8.26,249818,Open World
499,2016,Lucy -The Eternity She Wished For-,9.99,8.25,7554,Visual Novel
500,2016,LiEat,2.99,8.25,4118,Anime
501,2016,Brick Rigs,18.99,8.25,32022,Sandbox
502,2016,Shakes and Fidget,0.0,8.25,30133,RPG
503,2016,Crazy Machines 3,9.99,8.25,9284,Simulation
504,2016,Farming Simulator 17,14.99,8.23,22288,Farming Sim
505,2016,The Lab,0.0,8.22,5681,Action
506,2016,Transmissions: Element 120,0.0,8.22,9381,Action
507,2016,ASTRONEER,29.99,8.22,105690,Open World
508,2016,Epistory - Typing Chronicles,7.49,8.22,6084,Typing
509,2016,FINAL FANTASY IX,20.99,8.21,9217,JRPG
510,2016,Hyper Light Drifter,19.99,8.21,16153,Pixel Graphics
511,2016,MANDAGON,0.0,8.21,5493,Pixel Graphics
512,2016,Trick & Treat,0.0,8.2,2184,Pixel Graphics
513,2016,Darkest Dungeon®,24.99,8.2,123789,Turn-Based Combat
514,2016,Zup!,1.99,8.2,8339,Puzzle
515,2016,ABZU,6.99,8.2,23172,Relaxing
516,2016,The Thrill of the Fight - VR Boxing,9.99,8.19,3427,Sports
517,2016,Momodora: Reverie Under The Moonlight,9.99,8.19,10024,Metroidvania
518,2016,GUILTY GEAR Xrd REV 2,29.99,8.19,8890,Fighting
519,2016,The House in Fata Morgana,24.99,8.18,3317,Visual Novel
520,2016,Wuppo: Definitive Edition,14.99,8.18,5018,Metroidvania
521,2016,SHENZHEN I/O,14.99,8.18,3606,Programming
522,2016,Hello Charlotte EP2: Requiem Aeternam Deo,0.0,8.18,1146,RPG
523,2016,Learn to Fly 3,0.0,8.17,7634,Casual
524,2016,Kindred Spirits on the Roof,34.99,8.17,1167,Visual Novel
525,2016,Google Earth VR,0.0,8.17,3491,Simulation
526,2016,Clustertruck,14.99,8.17,13562,Parkour
527,2016,Brigador: Up-Armored Edition,24.99,8.17,4812,Cyberpunk
528,2016,PRICE,0.0,8.16,4932,Puzzle
529,2016,Tayutama 2-you're the only one-,34.99,8.16,2314,Anime
530,2016,Eleven Table Tennis,29.99,8.15,3014,Sports
531,2016,Samorost 3,4.99,8.15,4024,Point & Click
532,2016,SENRAN KAGURA SHINOVI VERSUS,19.99,8.15,3708,Anime
