,Year of Release,Game Title,Game Price,Score,Votes,Genre
814,2018,The Ditzy Demons Are in Love With Me,24.99,8.17,1446,Visual Novel
815,2018,Rusty Lake Paradise,3.99,8.17,3796,Puzzle
816,2018,killer7,19.99,8.17,2292,Cult Classic
817,2018,Akane,4.99,8.17,2311,Cyberpunk
818,2018,Heartbound,9.99,8.17,1433,Story Rich
819,2018,Do Not Feed the Monkeys,11.99,8.17,8125,Point & Click
820,2018,"one night, hot springs",0.0,8.17,2267,Visual Novel
821,2018,Unavowed,14.99,8.16,1932,Adventure
822,2018,東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,8.99,8.15,1173,Bullet Hell
823,2018,Mhakna Gramura and Fairy Bell,4.99,8.15,578,Casual
824,2018,Marie's Room,0.0,8.15,5996,Story Rich
825,2018,Crash Bandicoot™ N. Sane Trilogy,39.99,8.15,14710,3D Platformer
826,2018,Hentai Girl,0.69,8.15,13762,Dating Sim
827,2018,Pit People®,19.99,8.15,7532,Online Co-Op
828,2018,Hentai Girl Linda,0.69,8.15,4589,Dating Sim
829,2018,Moss,19.99,8.14,2810,Action-Adventure
830,2018,"OH MY GOD, LOOK AT THIS KNIGHT",0.0,8.14,1809,Adventure
831,2018,DEEP SPACE WAIFU: NEKOMIMI,3.99,8.14,1024,Nudity
832,2018,Scalak,1.99,8.14,838,Casual
833,2018,Liftoff®: FPV Drone Racing,19.99,8.14,6878,Simulation
834,2018,The House in Fata Morgana: A Requiem for Innocence,14.99,8.13,785,Adventure
835,2018,Bloodstained: Curse of the Moon,9.99,8.13,3763,Action
836,2018,Horizon Chase Turbo,19.99,8.13,4868,Racing
837,2018,The Awesome Adventures of Captain Spirit,0.0,8.13,12854,Story Rich
838,2018,Noel the Mortal Fate S1-7,14.99,8.13,1841,Adventure
839,2018,Swarmlake,2.99,8.13,1645,FPS
840,2018,PIPE by BMX Streets,9.99,8.12,5896,Sports
841,2018,Yume Nikki,0.0,8.12,5617,Psychological Horror
842,2018,RetroMaze,0.99,8.12,1147,Casual
843,2018,Delete,1.99,8.12,1315,Casual
844,2018,Two Point Hospital,29.99,8.12,30014,Simulation
845,2018,Jet Island,19.99,8.12,1576,Action
846,2018,"Guns, Gore and Cannoli 2",12.99,8.12,3569,Action
847,2018,Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi,7.99,8.12,462,Visual Novel
848,2018,Chinese Parents,9.99,8.12,22672,Psychological Horror
849,2018,ISLAND,39.99,8.11,1294,Visual Novel
850,2018,Rolling Line,19.99,8.11,1623,Trains
851,2018,DYO,0.0,8.1,937,Local Co-Op
852,2018,Megaquarium,24.99,8.1,2662,Simulation
853,2018,Ding Dong XL,0.99,8.1,726,Casual
854,2018,ZeroRanger,11.99,8.1,1242,Shoot 'Em Up
855,2018,Kaori After Story,2.49,8.09,448,Choose Your Own Adventure
856,2018,A Raven Monologue,0.0,8.09,2398,Casual
857,2018,Super Ledgehop: Double Laser,0.99,8.09,615,Rhythm
858,2018,Zero-K,0.0,8.09,3036,Strategy
859,2018,TSIOQUE,13.99,8.09,1558,Adventure
860,2018,Google Spotlight Stories: Age of Sail,0.0,8.09,436,Adventure
861,2018,Dungreed,9.99,8.09,7969,Action Roguelike
862,2018,Montaro RE,0.99,8.08,1222,Casual
863,2018,Lost in Vivo,11.99,8.08,2682,Psychological Horror
864,2018,Hentai Girl Hime,0.69,8.08,4039,Dating Sim
865,2018,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],24.99,8.08,3283,2D Fighter
866,2018,The Hex,9.99,8.08,3012,Singleplayer
867,2018,DARK SOULS™: REMASTERED,39.99,8.08,77616,Souls-like
868,2018,DRAGON BALL FighterZ,59.99,8.08,60725,Fighting
869,2018,I'm on Observation Duty,2.99,8.07,1304,Horror
870,2018,Distance,24.99,8.07,6698,Racing
871,2018,"Warhammer 40,000: Mechanicus",29.99,8.07,11155,Warhammer 40K
872,2018,Gachi Heroes,0.99,8.07,2018,Memes
873,2018,Overcooked! 2,24.99,8.07,48129,Online Co-Op
874,2018,Adventure of a Lifetime,12.99,8.07,749,Adventure
875,2018,Bad North: Jotunn Edition,4.49,8.07,7926,Real Time Tactics
876,2018,The Bard's Tale Trilogy,2.99,8.06,1197,RPG
877,2018,The Legend of Heroes: Trails of Cold Steel II,39.99,8.06,2398,JRPG
878,2018,Katamari Damacy REROLL,29.99,8.06,4563,Great Soundtrack
879,2018,Hexologic,2.99,8.05,906,Logic
880,2018,Aimtastic,0.0,8.05,2579,Action
881,2018,TREE,0.0,8.05,2052,Casual
882,2018,EXAPUNKS,19.99,8.05,1515,Programming
883,2018,Genital Jousting,6.99,8.05,9635,Dating Sim
884,2018,Crystalline,4.99,8.05,1339,Choose Your Own Adventure
885,2018,Deep Space Waifu: FANTASY,3.99,8.05,1163,Nudity
886,2018,The Gardens Between,19.99,8.04,2315,Short
887,2018,Attack on Titan 2 - A.O.T.2,59.99,8.04,5522,Action
888,2018,BallisticNG,14.99,8.04,2639,Combat Racing
889,2018,Wolf Tails,9.99,8.04,840,Dating Sim
890,2018,Assassin's Creed® Odyssey,59.99,8.04,136697,Open World
891,2018,Wizard of Legend,15.99,8.04,17663,Action Roguelike
892,2018,Hakuoki: Edo Blossoms,9.99,8.04,740,Otome
893,2018,Kingdom Two Crowns,4.99,8.03,18669,Base Building
894,2018,Overload,29.99,8.03,1796,Action
895,2018,东方试闻广纪 ~ Perfect Memento of Touhou Question,0.0,8.03,839,Casual
896,2018,Fate Seeker,21.09,8.02,12588,RPG
897,2018,TerraTech,24.99,8.02,19186,Building
898,2018,Cheeky Chooks,0.0,8.02,2377,Casual
899,2018,428: Shibuya Scramble,49.99,8.02,1564,Visual Novel
900,2019,People Playground,9.99,8.8,178758,Sandbox
901,2019,Slay the Spire,24.99,8.7,130494,Roguelike Deckbuilder
902,2019,Katana ZERO,14.99,8.66,56108,Pixel Graphics
903,2019,Resident Evil 2,39.99,8.65,129193,Zombies
904,2019,A Short Hike,5.19,8.61,13022,Adventure
905,2019,Oxygen Not Included,24.99,8.58,99009,Colony Sim
906,2019,Baba Is You,14.99,8.55,17540,Puzzle
907,2019,Grimm's Hollow,0.0,8.55,10961,Pixel Graphics
908,2019,Sekiro™: Shadows Die Twice - GOTY Edition,59.99,8.54,229228,Souls-like
909,2019,Phoenix Wright: Ace Attorney Trilogy,29.99,8.52,18765,Detective
910,2019,Beat Saber,29.99,8.51,68170,Rhythm
911,2019,Devil May Cry 5,29.99,8.5,100358,Action
912,2019,Touhou Luna Nights,17.99,8.49,12113,Metroidvania
913,2019,Kind Words (lo fi chill beats to write to),4.99,8.49,8148,Emotional
914,2019,Tales of the Black Forest,1.19,8.49,9398,RPG
915,2019,Unheard - Voices of Crime,6.99,8.48,26902,Detective
916,2019,Age of Empires II: Definitive Edition,13.39,8.46,120875,Strategy
917,2019,Gravitas,0.0,8.44,6021,Puzzle
918,2019,My Friend Pedro,19.99,8.42,25403,Action
919,2019,Streets of Rogue,19.99,8.42,17970,Roguelite
920,2019,Muse Dash,2.99,8.41,85257,Music
921,2019,Zup! F,1.99,8.41,7922,Puzzle
922,2019,Aokana - Four Rhythms Across the Blue,34.99,8.41,3986,Visual Novel
923,2019,Sayonara Wild Hearts,12.99,8.39,7139,Great Soundtrack
924,2019,missed messages.,0.0,8.39,13809,Visual Novel
925,2019,Monster Girl Island: Prologue,0.0,8.39,16452,Dating Sim
926,2019,Mindustry,9.99,8.39,14259,Base Building
927,2019,FIVE NIGHTS AT FREDDY'S: HELP WANTED,29.99,8.38,9448,Horror
928,2019,WolfQuest: Anniversary Edition,14.99,8.38,5764,Life Sim
929,2019,Kindergarten 2,14.99,8.37,3330,Adventure
930,2019,Bug Fables: The Everlasting Sapling,19.99,8.37,4068,RPG
931,2019,Nova Drift,8.99,8.36,9675,Action Roguelike
932,2019,NGU IDLE,0.0,8.36,9809,Idler
933,2019,Bloodstained: Ritual of the Night,39.99,8.35,33852,Metroidvania
934,2019,异化之恶〇Abnormal Treatment,0.0,8.34,2920,RPG
935,2019,Backbone: Prologue,0.0,8.34,4116,Adventure
936,2019,PC Building Simulator,19.99,8.33,47260,Simulation
937,2019,A Dance of Fire and Ice,5.99,8.33,51557,Rhythm
938,2019,Master Of Pottery,5.99,8.33,2532,Simulation
939,2019,Hypnospace Outlaw,19.99,8.33,3191,1990's
940,2019,Halo: The Master Chief Collection,15.99,8.33,203332,Great Soundtrack
941,2019,月影魅像-解放之羽-,15.99,8.32,2675,Visual Novel
942,2019,Disco Elysium - The Final Cut,39.99,8.32,74924,RPG
943,2019,ISLANDERS,3.74,8.32,14689,Relaxing
944,2019,Yakuza Kiwami 2,19.99,8.31,12162,Action
945,2019,Neon Beats,0.0,8.31,6088,Rhythm
946,2019,A Plague Tale: Innocence,39.99,8.31,51936,Story Rich
947,2019,Supraland,19.99,8.3,10531,Puzzle
948,2019,SpaceEngine,24.99,8.3,7620,Open World
949,2019,Fluffy Store,0.59,8.3,2968,Visual Novel
950,2019,Spyro™ Reignited Trilogy,39.99,8.29,16929,Adventure
951,2019,One Finger Death Punch 2,7.99,8.29,4063,Action
952,2019,Pikuniku,12.99,8.29,6425,Adventure
953,2019,Dream Ending,3.99,8.29,2521,Casual
954,2019,We Become What We Behold [Fan-Made Port],0.0,8.29,3300,Violent
955,2019,TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II,12.99,8.28,2071,Bullet Hell
956,2019,AVICII Invector,19.99,8.28,2824,Casual
957,2019,The Coin Game,13.99,8.27,4322,Life Sim
958,2019,Don't Escape: 4 Days to Survive,14.99,8.27,1699,Adventure
959,2019,Blood™ Fresh Supply,9.99,8.27,5671,FPS
960,2019,Cat Quest II,14.99,8.27,3925,Adventure
961,2019,Descenders,24.99,8.25,13637,Sports
962,2019,DOTOKOI / 像素男友,0.0,8.25,951,Casual
963,2019,异常 | Exception,3.99,8.25,1678,Strategy
964,2019,Smile For Me,12.99,8.24,2138,Puzzle
965,2019,9-nine-:Episode 2,19.99,8.24,1009,Dating Sim
966,2019,Agent A: A puzzle in disguise,19.99,8.24,3866,Escape Room
967,2019,Reventure,7.99,8.24,7926,Adventure
968,2019,RED HOT VENGEANCE,0.0,8.24,2852,Violent
969,2019,EARTH DEFENSE FORCE 5,59.99,8.23,7986,Action
970,2019,Yuppie Psycho: Executive Edition,16.66,8.23,5976,Puzzle
971,2019,Pilgrims,6.99,8.23,2946,Hand-drawn
972,2019,Later Alligator,17.99,8.22,1929,Point & Click
973,2019,AMID EVIL,4.99,8.22,5568,FPS
974,2019,MX Bikes,34.99,8.22,11832,Motocross
975,2019,I wanna be the Creator,5.99,8.22,2374,Action
976,2019,Necesse,9.99,8.21,6043,Open World Survival Craft
977,2019,BirdGut,0.0,8.21,4084,Adventure
978,2019,Otaku's Adventure,6.99,8.21,6632,Funny
979,2019,What Never Was,0.0,8.2,4595,Adventure
980,2019,My Time At Portia,29.99,8.2,39696,RPG
981,2019,Splitgate,0.0,8.2,108705,FPS
982,2019,觅长生,14.99,8.2,19432,RPG
983,2019,Tiny Snow,3.99,8.19,3491,Visual Novel
984,2019,GORN,19.99,8.19,7812,Action
985,2019,60 Seconds! Reatomized,4.99,8.19,10752,Strategy
986,2019,Project Arrhythmia,11.99,8.19,1806,Music
987,2019,Yakuza Kiwami,19.99,8.19,15810,Action
988,2019,Tangle Tower,19.99,8.18,3021,Detective
989,2019,FrostRunner,0.0,8.17,3206,Parkour
990,2019,The Good Time Garden,0.0,8.17,2174,Nudity
991,2019,Touhou Kikeijuu ~ Wily Beast and Weakest Creature.,14.99,8.17,935,Bullet Hell
992,2019,沉睡的法则 Things as They Are,5.99,8.17,978,JRPG
993,2019,No Time,10.99,8.17,1224,Time Travel
994,2019,STEINS;GATE: My Darling's Embrace,29.99,8.17,897,Visual Novel
995,2019,Red Dead Redemption 2,19.79,8.17,395587,Open World
996,2019,Mushroom Cats,0.0,8.16,1440,Casual
997,2019,BONEWORKS,29.99,8.16,33296,Physics
998,2019,Hentai Girl Karen,0.69,8.16,4357,Anime
999,2019,Gato Roboto,7.99,8.16,3336,Metroidvania
1000,2019,The Jackbox Party Pack 6,29.99,8.16,2551,Trivia
1001,2019,There is No GreenDam,0.0,8.15,1623,Visual Novel
1002,2019,Kao the Kangaroo: Round 2 (2003 re-release),0.99,8.15,7488,Adventure
1003,2019,人间 The Lost We Lost,3.99,8.15,2265,Simulation
1004,2019,祈風 Inorikaze,10.99,8.15,349,Adventure
1005,2019,Fantasy Girl,0.59,8.14,4849,Dating Sim
1006,2019,Hentai Girl Fantasy,0.69,8.14,3958,Dating Sim
1007,2019,Minion Masters,0.0,8.13,60365,Real Time Tactics
1008,2019,Shotgun Farmers,9.99,8.13,9430,Action
1009,2019,The Political Process,14.99,8.12,1474,Political Sim
1010,2019,Assetto Corsa Competizione,39.99,8.11,25475,Racing
1011,2019,Touhou Fantasia / 东方梦想曲,0.0,8.11,1413,Action
1012,2019,旅燕归航 Swallow Homing,0.0,8.11,603,Visual Novel
1013,2019,Trailmakers,24.99,8.11,15261,Puzzle
1014,2019,Zup! 9,1.99,8.11,1470,Puzzle
1015,2019,沙雕之路,10.0,8.1,938,RPG
1016,2019,APE OUT,14.99,8.1,2627,Violent
1017,2019,Hot Lava,19.99,8.1,4987,Precision Platformer
1018,2019,Terminator: Resistance,39.99,8.1,11514,FPS
1019,2019,LOVE³ -Love Cube-,9.99,8.09,2377,Dating Sim
1020,2019,寄甡 Symbiotic Love,6.99,8.09,1253,Casual
1021,2019,Planet Zoo,44.99,8.09,67528,Management
1022,2019,DATE A LIVE: Rio Reincarnation,39.99,8.09,2736,Simulation
1023,2019,Hello Neighbor Alpha 2,0.0,8.09,2279,Horror
1024,2019,DARQ: Complete Edition,19.99,8.09,3487,Horror
1025,2019,Baldr Sky,49.99,8.08,1075,Visual Novel
1026,2019,STEINS;GATE: Linear Bounded Phenogram,0.0,8.08,576,Adventure
1027,2019,Spring Falls,6.99,8.08,652,Casual
1028,2019,The Long Drive,15.99,8.08,21293,Automobile Sim
1029,2019,Derail Valley,19.99,8.07,3018,Simulation
1030,2019,Mutazione,19.99,8.07,816,Relaxing
1031,2019,"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator",0.0,8.07,11866,Dating Sim
1032,2019,Seen,2.99,8.07,8565,Adventure
1033,2019,Voxelgram,9.99,8.07,388,Puzzle
1034,2019,The Expression Amrilato,24.99,8.07,586,Story Rich
1035,2019,When the Darkness comes,0.0,8.06,7945,Psychological Horror
1036,2019,Don't Escape Trilogy,4.99,8.06,257,Adventure
1037,2019,Ultra Fight Da ! Kyanta 2,0.0,8.06,830,Fighting
1038,2019,Pathologic 2,34.99,8.06,8155,Story Rich
1039,2019,Frog Detective 2: The Case of the Invisible Wizard,4.99,8.05,1359,Comedy
1040,2019,Shipped,9.99,8.05,581,Local Multiplayer
1041,2019,Fate/EXTELLA LINK,49.99,8.05,3867,Anime
1042,2019,Forager,19.99,8.05,34218,Open World Survival Craft
1043,2019,Swords & Souls: Neverseen,14.99,8.05,3772,RPG
1044,2019,逝去的回忆3：四叶草之梦,9.99,8.04,583,RPG
1045,2019,Pizza Game,9.99,8.04,287,Casual
1046,2019,Pistol Whip,29.99,8.04,3429,Action
1047,2019,STAR WARS Jedi: Fallen Order™,39.99,8.04,124267,Action-Adventure
1048,2019,Heart of the Woods,14.99,8.04,708,Story Rich
1049,2019,Unsung Warriors - Prologue,0.0,8.03,1364,Adventure
1050,2020,Hades,12.49,8.79,223813,Action Roguelike
1051,2020,Half-Life: Alyx,59.99,8.71,79813,FPS
1052,2020,Phasmophobia,13.99,8.71,547754,Horror
1053,2020,Helltaker,0.0,8.69,111235,Cute
1054,2020,ULTRAKILL,24.99,8.68,58546,FPS
1055,2020,Deep Rock Galactic,9.89,8.67,202422,Co-op
1056,2020,The Henry Stickmin Collection,7.49,8.66,36753,Funny
1057,2020,OMORI,19.99,8.64,55077,Psychological Horror
1058,2020,Satisfactory,29.99,8.64,128316,Base Building
1059,2020,Risk of Rain 2,24.99,8.61,232804,Third-Person Shooter
1060,2020,Senren＊Banka,19.94,8.6,13315,Visual Novel
1061,2020,Factorio,35.0,8.6,165088,Automation
1062,2020,Persona 4 Golden,19.99,8.59,62194,JRPG
1063,2020,Ori and the Will of the Wisps,5.99,8.59,108312,Beautiful
1064,2020,ATRI -My Dear Moments-,20.99,8.56,11378,Visual Novel
1065,2020,There Is No Game: Wrong Dimension,12.99,8.55,18948,Adventure
1066,2020,Our Life: Beginnings & Always,0.0,8.55,8966,Visual Novel
1067,2020,The Test,1.99,8.5,18367,Choose Your Own Adventure
1068,2020,Black Mesa,19.99,8.49,94478,FPS
1069,2020,Milk inside a bag of milk inside a bag of milk,0.49,8.49,17108,Visual Novel
1070,2020,Virtual Cottage,0.0,8.46,7752,Relaxing
1071,2020,Besiege,14.99,8.45,45220,Building
1072,2020,Outer Wilds,24.99,8.44,47994,Exploration
1073,2020,Cube Escape Collection,4.99,8.44,4526,Puzzle
1074,2020,Riddle Joker,34.99,8.44,3452,Visual Novel
1075,2020,Noita,19.99,8.44,52787,Physics
1076,2020,Wobbly Life,13.99,8.44,12296,Adventure
1077,2020,The Test: Final Revelation,1.99,8.43,4905,Simulation
1078,2020,NEKOPARA Vol. 4,9.99,8.43,7860,Dating Sim
1079,2020,Spiritfarer®: Farewell Edition,29.99,8.43,30054,Emotional
1080,2020,The Test: Hypothesis Rising,1.99,8.42,5447,Simulation
1081,2020,Post Void,2.99,8.42,7967,Psychedelic
1082,2020,Desperados III,39.99,8.42,11396,Strategy
1083,2020,Samsara Room,0.0,8.42,7312,Adventure
1084,2020,Monster Train,24.99,8.42,18156,Card Battler
1085,2020,Being a DIK - Season 1,13.99,8.4,9507,Dating Sim
1086,2020,The Supper,0.0,8.4,3215,Pixel Graphics
1087,2020,Maitetsu:Last Run!!,34.99,8.4,2857,Dating Sim
1088,2020,shapez,9.99,8.4,9352,Automation
1089,2020,Marco & The Galaxy Dragon,7.99,8.4,4745,Visual Novel
1090,2020,Yakuza: Like a Dragon,59.99,8.39,20573,RPG
1091,2020,Star Fetchers,0.0,8.39,6340,Action
1092,2020,Monster Prom 2: Monster Camp,11.99,8.39,5105,Dating Sim
1093,2020,Alba: A Wildlife Adventure,6.79,8.39,4083,Casual
1094,2020,Carto,19.99,8.38,5995,Cute
1095,2020,Detroit: Become Human,19.99,8.38,80746,Choices Matter
1096,2020,There Is No Game: Jam Edition 2015,0.0,8.38,5574,Casual
1097,2020,Cats Organized Neatly,2.99,8.37,2883,Cats
1098,2020,Vampires' Melody,1.19,8.37,3437,Casual
1099,2020,5D Chess With Multiverse Time Travel,11.99,8.36,5895,Chess
1100,2020,Untitled Goose Game,19.99,8.36,14183,Funny
1101,2020,Door Kickers 2: Task Force North,24.99,8.36,6422,Strategy
1102,2020,The Walking Dead: The Telltale Definitive Series,49.99,8.35,10474,Choices Matter
1103,2020,Epiphyllum in Love,3.99,8.35,1790,Casual
1104,2020,Leaf Blower Revolution - Idle Game,0.0,8.33,19203,Idler
1105,2020,Journey,14.99,8.33,24658,Beautiful
1106,2020,The Room VR: A Dark Matter,29.99,8.33,3079,Adventure
1107,2020,Superliminal,19.99,8.32,21909,Puzzle
1108,2020,The Pedestrian,19.99,8.32,3427,Puzzle
1109,2020,Tukoni,0.0,8.32,3140,Adventure
1110,2020,Zup! Z,1.99,8.32,3818,Puzzle
1111,2020,The Jackbox Party Pack 7,29.99,8.31,3852,Party Game
1112,2020,Fireworks Mania - An Explosive Simulator,11.99,8.3,4146,Sandbox
1113,2020,Sakuya Izayoi Gives You Advice And Dabs,0.99,8.3,1884,Casual
1114,2020,千面 Melancholy Love,4.99,8.3,1660,Casual
1115,2020,CARRION,19.99,8.29,19225,Villain Protagonist
1116,2020,Coloring Game 2,0.0,8.29,3177,Casual
1117,2020,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,29.99,8.28,13723,Adventure
1118,2020,Coffee Talk,12.99,8.28,7724,Conversation
1119,2020,Manifold Garden,19.99,8.27,4499,Puzzle
1120,2020,Poly Bridge 2,14.99,8.27,6353,Building
1121,2020,ARMORED HEAD,4.99,8.26,894,Arena Shooter
1122,2020,Songs for a Hero - Definitive Edition,14.99,8.26,3239,2D Platformer
1123,2020,It Steals,4.99,8.26,882,Survival Horror
1124,2020,像素女友,0.0,8.26,1240,RPG
1125,2020,DRAGON BALL Z: KAKAROT,59.99,8.26,40450,Action
1126,2020,Chronicon,13.99,8.26,8252,Loot
1127,2020,ShellShock Live,6.99,8.26,32129,Tanks
1128,2020,Project Wingman,24.99,8.26,13110,Flight
1129,2020,Vecter,0.0,8.25,2845,Racing
1130,2020,A Space For The Unbound - Prologue,0.0,8.25,1251,Pixel Graphics
1131,2020,Aokana - Four Rhythms Across the Blue - EXTRA1,16.99,8.24,989,Adventure
1132,2020,Kingdom Rush Vengeance - Tower Defense,19.99,8.24,6478,Tower Defense
1133,2020,Songs of Syx,24.99,8.24,2521,City Builder
1134,2020,Hylics 2,14.99,8.24,1916,RPG
1135,2020,Crusader Kings III,49.99,8.24,88917,Strategy
1136,2020,Tiny Bunny: Prologue,0.0,8.24,1888,Horror
1137,2020,YOU and ME and HER: A Love Story,29.99,8.24,2565,Visual Novel
1138,2020,Some Some Convenience Store,14.99,8.23,2918,Dating Sim
1139,2020,The Riftbreaker: Prologue,0.0,8.23,4083,Base Building
1140,2020,Baldi's Basics Plus,9.99,8.23,2430,Roguelite
1141,2020,泡沫冬景,14.99,8.22,4252,Adventure
1142,2020,LEWDAPOCALYPSE Hentai Evil,0.99,8.22,6542,Dating Sim
1143,2020,TROUBLESHOOTER: Abandoned Children,24.99,8.22,7557,CRPG
1144,2020,Creeper World 4,24.99,8.22,3340,Tower Defense
1145,2020,The Life and Suffering of Sir Brante — Chapter 1&2,0.0,8.2,2018,Interactive Fiction
1146,2020,Return to Shironagasu Island,4.99,8.2,2373,Adventure
1147,2020,WORLD OF HORROR,14.99,8.2,5569,Horror
1148,2020,恋爱绮谭~不存在的夏天~,8.99,8.19,2383,Visual Novel
1149,2020,a new life.,2.99,8.19,1782,Story Rich
1150,2020,House,9.99,8.19,1430,Horror
1151,2020,Spelunky 2,19.99,8.19,16836,Platformer
1152,2020,Island Saver,0.0,8.19,2705,Adventure
1153,2020,When The Past Was Around,7.99,8.19,2866,Hidden Object
1154,2020,Flowers -Le volume sur automne-,19.99,8.19,558,Visual Novel
1155,2020,坦率的小红帽和爱说谎的狼,0.0,8.19,935,RPG
1156,2020,Unrailed!,4.99,8.19,15883,Co-op
1157,2020,DDraceNetwork,0.0,8.19,11465,Online Co-Op
1158,2020,Roboquest,16.99,8.18,5921,FPS
1159,2020,I Wanna Maker,0.0,8.18,3323,Precision Platformer
1160,2020,The Coma 2: Vicious Sisters,14.99,8.18,2326,Horror
1161,2020,Dictators:No Peace Countryballs,0.99,8.18,5208,Strategy
1162,2020,Propagation VR,0.0,8.18,4628,Action
1163,2020,Florence,5.99,8.18,9521,Casual
1164,2020,DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,39.99,8.18,6730,JRPG
1165,2020,Wingspan,19.99,8.18,6817,Building
1166,2020,Murder House,11.99,8.18,1661,Horror
1167,2020,Summer Memories,19.99,8.18,10635,Dating Sim
1168,2020,Micro Platformer,0.0,8.17,1406,Precision Platformer
1169,2020,The Procession to Calvary,4.49,8.17,752,Dark Comedy
1170,2020,Mini Healer,7.99,8.17,1816,Party-Based RPG
1171,2020,DOOM Eternal,39.99,8.17,170445,Action
1172,2020,Soda Dungeon 2,0.0,8.17,4743,RPG
1173,2020,Roman's Christmas / 罗曼圣诞探案集,10.99,8.17,1382,Story Rich
1174,2020,Stormworks: Build and Rescue,24.99,8.17,35474,Sandbox
1175,2020,Into the Radius VR,29.99,8.17,7579,Survival
1176,2020,A Summer's End - Hong Kong 1986,14.99,8.17,1432,Casual
1177,2020,Mosaique Neko Waifus 2,1.99,8.16,2469,Anime
1178,2020,Ghostrunner,10.49,8.16,48083,Action
1179,2020,NOeSIS01_诉说谎言记忆物语,0.0,8.16,1030,RPG
1180,2020,Sea of Thieves 2023 Edition,19.99,8.16,277049,Adventure
1181,2020,DOOM 64,4.99,8.15,5887,Action
1182,2020,One Step From Eden,19.99,8.15,6649,Action Roguelike
1183,2020,Making*Lovers,29.99,8.15,571,Casual
1184,2020,Utawarerumono: Mask of Truth,15.99,8.15,1113,RPG
1185,2020,Littlewood,14.99,8.14,5995,Pixel Graphics
1186,2020,STORY OF SEASONS: Friends of Mineral Town,39.99,8.14,4387,Simulation
1187,2020,The Battle of Polytopia,14.99,8.14,3271,Strategy
1188,2020,Shotgun Witch,0.0,8.14,870,Arena Shooter
1189,2020,Boomerang Fu,14.99,8.13,1520,4 Player Local
1190,2020,Friendship with Benefits,10.99,8.13,1380,Dating Sim
1191,2020,Streets of Rage 4,24.99,8.13,15469,Action
1192,2020,Maiden and Spell,12.99,8.13,595,Action
1193,2020,CBT With Yuuka Kazami,0.99,8.13,844,Casual
1194,2020,Creaks,19.99,8.12,2920,Puzzle
1195,2020,The White Door,3.99,8.12,4779,Adventure
1196,2020,Saiko no sutoka,4.99,8.12,2446,Horror
1197,2020,Slap City,19.99,8.12,2799,Action
1198,2020,Penko Park,12.99,8.12,388,Creature Collector
1199,2020,Cyber Hook,4.49,8.12,2208,3D Platformer
1200,2021,Totally Accurate Battle Simulator,19.99,8.69,104651,Sandbox
1201,2021,Dyson Sphere Program,15.99,8.65,69977,Space
1202,2021,Inscryption,19.99,8.61,88612,Card Battler
1203,2021,Firework,5.99,8.6,31796,Horror
1204,2021,Rhythm Doctor,15.99,8.58,17217,Rhythm
1205,2021,Cookie Clicker,4.99,8.57,43211,Clicker
1206,2021,The Room 4: Old Sins,8.99,8.56,11842,Puzzle
1207,2021,Valheim,19.99,8.54,401294,Open World Survival Craft
1208,2021,It Takes Two,39.99,8.52,123657,Co-op
1209,2021,Tiny Bunny,12.99,8.52,10759,Visual Novel
1210,2021,Resident Evil Village,39.99,8.51,91477,Survival Horror
1211,2021,Clone Drone in the Danger Zone,10.99,8.49,22014,Robots
1212,2021,Before Your Eyes,9.99,8.47,10067,Emotional
1213,2021,Webbed,5.99,8.47,9892,2D Platformer
1214,2021,Word Game: Episode 0,0.0,8.47,4404,Minimalist
1215,2021,Project Kat - Paper Lily Prologue,0.0,8.47,3660,Psychological Horror
1216,2021,Doki Doki Literature Club Plus!,14.99,8.46,19361,Psychological Horror
1217,2021,Touhou Mystia's Izakaya,5.99,8.46,14081,Casual
1218,2021,TOEM,19.99,8.46,3492,Cozy
1219,2021,100 hidden frogs,0.0,8.46,4655,Hidden Object
1220,2021,Far Away,12.99,8.46,4903,Singleplayer
1221,2021,MADNESS: Project Nexus,24.99,8.45,11711,Gore
1222,2021,Milk outside a bag of milk outside a bag of milk,8.99,8.45,10579,Psychological Horror
1223,2021,Muck,0.0,8.44,143078,Survival
1224,2021,SuchArt: Creative Space,0.0,8.44,6199,Simulation
1225,2021,Psychonauts 2,20.39,8.44,8926,Story Rich
1226,2021,第七号列车 - Train No. 7,0.0,8.43,5519,Casual
1227,2021,Townscaper,3.59,8.42,18389,Controller
1228,2021,Cruelty Squad,19.99,8.42,10256,Capitalism
1229,2021,Mon Bazou,15.99,8.41,7909,Choose Your Own Adventure
1230,2021,Aventura Copilului Albastru și Urât,1.99,8.41,2309,Anime
1231,2021,The Last Campfire,14.99,8.41,5225,Puzzle
1232,2021,Find Love or Die Trying,0.0,8.4,8701,Dating Sim
1233,2021,Purrgatory,0.0,8.4,2592,Visual Novel
1234,2021,死寂（Deathly Stillness）,0.0,8.39,17046,Zombies
1235,2021,Paint the Town Red,9.99,8.39,22117,Gore
